class_name	true_positives	false_positives	false_negatives	true_negatives	sensitivity	specificity	precision	accuracy	f1_score	roc_auc	pr_auc	class_weight	model_id	model_class	memory_size	epoch	study_name	trial_number	trial_params	performance
Peroxisome	9	4	14	1651	0.391304347826087	0.997583081570997	0.692307692307692	0.98927294398093	0.5	0.923367923289111	0.600085140857321	7.29565217391304	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Plastid	75	5	16	1582	0.824175824175824	0.996849401386263	0.9375	0.987485101311085	0.87719298245614	0.981255669346407	0.923325773543245	1.84395604395604	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Average	1337	341	341	-1	0.679555425479903	0.988947755880021	0.721050133109534	0.679555425479903	0.67175268752457	0.94131793919965	0.641192305599744	NA	MaxPoolMLP_2b7c1798-bcf6-4d24-8b49-440ba6205df3	MaxPoolMLP	1185.99322891235	18	MaxPoolMLP	13	"[[""""reduced_seq_len"""", 30], [""""layer_size_percentage"""", 0.3], [""""num_layers"""", 3]]"	0.731370105694654
Cell_membrane	100	26	61	1491	0.62111801242236	0.982860909690178	0.793650793650794	0.948152562574493	0.696864111498258	0.936950584882716	0.779442587403498	1.04223602484472	MaxPoolMLP_7524e740-caec-4dc5-9f39-2f2ce0ff2000	MaxPoolMLP	525.087512969971	18	MaxPoolMLP	14	"[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]"	0.710025447141292
Cytoplasm	223	158	76	1221	0.745819397993311	0.885424220449601	0.585301837270341	0.860548271752086	0.655882352941176	0.909211512389619	0.660025401775828	0.561204013377926	MaxPoolMLP_7524e740-caec-4dc5-9f39-2f2ce0ff2000	MaxPoolMLP	525.087512969971	18	MaxPoolMLP	14	"[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]"	0.710025447141292
Endoplasmic_reticulum	68	52	27	1531	0.715789473684211	0.967150979153506	0.566666666666667	0.952920143027414	0.632558139534884	0.948970974498786	0.675853120992748	1.76631578947368	MaxPoolMLP_7524e740-caec-4dc5-9f39-2f2ce0ff2000	MaxPoolMLP	525.087512969971	18	MaxPoolMLP	14	"[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]"	0.710025447141292
Extracellular	237	35	6	1400	0.975308641975309	0.975609756097561	0.871323529411765	0.975566150178784	0.920388349514563	0.995979409529545	0.978124860624043	0.690534979423868	MaxPoolMLP_7524e740-caec-4dc5-9f39-2f2ce0ff2000	MaxPoolMLP	525.087512969971	18	MaxPoolMLP	14	"[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]"	0.710025447141292
Golgi_apparatus	15	3	33	1627	0.3125	0.998159509202454	0.833333333333333	0.978545887961859	0.454545454545455	0.92939672801636	0.517811911635407	3.49583333333333	MaxPoolMLP_7524e740-caec-4dc5-9f39-2f2ce0ff2000	MaxPoolMLP	525.087512969971	18	MaxPoolMLP	14	"[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]"	0.710025447141292
Lysosome_Vacuole	11	11	31	1625	0.261904761904762	0.993276283618582	0.5	0.974970202622169	0.34375	0.923739667015951	0.338307589210403	3.99523809523809	MaxPoolMLP_7524e740-caec-4dc5-9f39-2f2ce0ff2000	MaxPoolMLP	525.087512969971	18	MaxPoolMLP	14	"[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]"	0.710025447141292
Mitochondrion	178	64	22	1414	0.89	0.956698240866035	0.735537190082645	0.948748510131109	0.805429864253394	0.977303788903924	0.906637070622063	0.839	MaxPoolMLP_7524e740-caec-4dc5-9f39-2f2ce0ff2000	MaxPoolMLP	525.087512969971	18	MaxPoolMLP	14	"[[""""reduced_seq_len"""", 10], [""""layer_size_percentage"""", 0.8], [""""num_layers"""", 2]]"	0.710025447141292
